run_id,manifest_path,model,task_id,family,status,official_process,official_result,official_comment,metric_source,grade_result_path,query_path
20260401-open8gpu-fullbench-v4-gpu03,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu03/run_manifest.json,Qwen__Qwen3-14B,Eparse_01,Eparse,graded_failed,True,False,"Prediction file contains 2 Excel data blocks
GT file contains 2 Excel data blocks
Filename match rate: 100.00%
File 'table_epa.xlsx' content similarity: 0.00%
File 'table_date.xlsx' content similarity: 0.00%
Average content similarity across all files: 0.00%
Final score (filename match 30.0% + content similarity 70.0%): 30.00% (threshold=75%)
❌ Test failed!",grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu03/__mnt__bn__xsc-f1526e9f__yongkang__workspace__.memory_guard_lab__model_store__Qwen__Qwen3-14B/Eparse_01/grade/Eparse_01/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Eparse_01/query.json
20260401-open8gpu-fullbench-v4-gpu01,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu01/run_manifest.json,Qwen2.5-14B-Instruct,Eparse_03,Eparse,graded_failed,True,False,❌ Evaluation process error: 'list' object has no attribute 'get',grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu01/__mnt__bn__xsc-f1526e9f__yongkang__workspace__hf_models__Qwen2.5-14B-Instruct/Eparse_03/grade/Eparse_03/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Eparse_03/query.json
20260401-open8gpu-fullbench-v4-gpu03,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu03/run_manifest.json,Qwen__Qwen3-14B,Eparse_03,Eparse,graded_failed,True,False,"✅ Similarity calculation complete: 0.0000 (39 GT cells, 0 predicted cells)",grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu03/__mnt__bn__xsc-f1526e9f__yongkang__workspace__.memory_guard_lab__model_store__Qwen__Qwen3-14B/Eparse_03/grade/Eparse_03/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Eparse_03/query.json
20260401-open8gpu-fullbench-v4-gpu01,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu01/run_manifest.json,Qwen2.5-14B-Instruct,NeuroKit_01,NeuroKit,graded_failed,True,False,"Accuracy: 0.00%, Matched columns: 0/3. SCR_Onsets: Mismatch; SCR_Peaks: Mismatch; SCR_Height: Mismatch",grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu01/__mnt__bn__xsc-f1526e9f__yongkang__workspace__hf_models__Qwen2.5-14B-Instruct/NeuroKit_01/grade/NeuroKit_01/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/NeuroKit_01/query.json
20260401-open8gpu-fullbench-v4-gpu01,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu01/run_manifest.json,Qwen2.5-14B-Instruct,NeuroKit_02,NeuroKit,graded_failed,True,False,"Accuracy: 0.00%, Matched columns: 0/2. ECG_R_Peaks: Mismatch; ECG_P_Peaks: Mismatch",grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu01/__mnt__bn__xsc-f1526e9f__yongkang__workspace__hf_models__Qwen2.5-14B-Instruct/NeuroKit_02/grade/NeuroKit_02/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/NeuroKit_02/query.json
20260401-open8gpu-fullbench-v4-gpu01,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu01/run_manifest.json,Qwen2.5-14B-Instruct,PDFPlumber_02,PDFPlumber,graded_failed,True,False,"✅ Column names and order match.
Overall cell-by-cell match rate: 64.92% (threshold=75%)
❌ Test failed!",grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu01/__mnt__bn__xsc-f1526e9f__yongkang__workspace__hf_models__Qwen2.5-14B-Instruct/PDFPlumber_02/grade/PDFPlumber_02/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/PDFPlumber_02/query.json
20260401-open8gpu-fullbench-v4-gpu02,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu02/run_manifest.json,Qwen2.5-32B-Instruct,PDFPlumber_02,PDFPlumber,graded_failed,True,False,"✅ Column names and order match.
Overall cell-by-cell match rate: 50.43% (threshold=75%)
❌ Test failed!",grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu02/__mnt__bn__xsc-f1526e9f__yongkang__workspace__hf_models__Qwen2.5-32B-Instruct/PDFPlumber_02/grade/PDFPlumber_02/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/PDFPlumber_02/query.json
20260401-open8gpu-fullbench-v4-gpu04,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu04/run_manifest.json,Qwen__Qwen3-32B,PDFPlumber_02,PDFPlumber,graded_failed,True,False,"✅ Column names and order match.
Overall cell-by-cell match rate: 64.92% (threshold=75%)
❌ Test failed!",grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu04/__mnt__bn__xsc-f1526e9f__yongkang__workspace__.memory_guard_lab__model_store__Qwen__Qwen3-32B/PDFPlumber_02/grade/PDFPlumber_02/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/PDFPlumber_02/query.json
20260401-open8gpu-fullbench-v4-gpu04,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu04/run_manifest.json,Qwen__Qwen3-32B,Scrapy_01,Scrapy,graded_failed,True,False,Runtime error: Expecting value: line 1 column 2 (char 1),grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu04/__mnt__bn__xsc-f1526e9f__yongkang__workspace__.memory_guard_lab__model_store__Qwen__Qwen3-32B/Scrapy_01/grade/Scrapy_01/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Scrapy_01/query.json
20260401-open8gpu-fullbench-v4-gpu02,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu02/run_manifest.json,Qwen2.5-32B-Instruct,Scrapy_03,Scrapy,graded_failed,True,False,"Prediction XML parsing failed, could not extract valid records",grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu02/__mnt__bn__xsc-f1526e9f__yongkang__workspace__hf_models__Qwen2.5-32B-Instruct/Scrapy_03/grade/Scrapy_03/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Scrapy_03/query.json
