run_id,manifest_path,model,task_id,family,status,official_process,official_result,official_comment,metric_source,grade_result_path,query_path
20260401-provider-full54-wave-gpt52full54,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/run_manifest.json,gpt-5.2-2025-12-11,AnimeGANv3_01,AnimeGANv3,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/AnimeGANv3_01/query.json
20260401-provider-full54-wave-gpt52full54,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/run_manifest.json,gpt-5.2-2025-12-11,AnimeGANv3_02,AnimeGANv3,graded_failed,True,False,LPIPS=0.3654 (<= 0.4 → OK); CLIP style check failed: No module named 'clip',grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/gpt-5.2-2025-12-11/AnimeGANv3_02/grade/AnimeGANv3_02/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/AnimeGANv3_02/query.json
20260401-provider-full54-wave-gpt52full54,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/run_manifest.json,gpt-5.2-2025-12-11,AnimeGANv3_03,AnimeGANv3,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/AnimeGANv3_03/query.json
20260401-provider-full54-wave-gpt52full54,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/run_manifest.json,gpt-5.2-2025-12-11,DeOldify_01,DeOldify,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeOldify_01/query.json
20260401-provider-full54-wave-gpt52full54,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/run_manifest.json,gpt-5.2-2025-12-11,DeOldify_02,DeOldify,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeOldify_02/query.json
20260401-provider-full54-wave-gpt52full54,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/run_manifest.json,gpt-5.2-2025-12-11,DeOldify_03,DeOldify,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeOldify_03/query.json
20260401-provider-full54-wave-gpt52full54,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/run_manifest.json,gpt-5.2-2025-12-11,DeScratch_01,DeScratch,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeScratch_01/query.json
20260401-provider-full54-wave-gpt52full54,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/run_manifest.json,gpt-5.2-2025-12-11,DeScratch_02,DeScratch,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeScratch_02/query.json
20260401-provider-full54-wave-gpt52full54,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/run_manifest.json,gpt-5.2-2025-12-11,DeScratch_03,DeScratch,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeScratch_03/query.json
20260401-provider-full54-wave-gpt52full54,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/run_manifest.json,gpt-5.2-2025-12-11,Eparse_01,Eparse,graded,True,True,"Prediction file contains 2 Excel data blocks
GT file contains 2 Excel data blocks
Filename match rate: 100.00%
File 'table_epa.xlsx' content similarity: 66.67%
File 'table_date.xlsx' content similarity: 100.00%
Average content similarity across all files: 83.33%
Final score (filename match 30.0% + content similarity 70.0%): 88.33% (threshold=75%)
✅ Test passed!",grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-provider-full54-wave-gpt52full54/gpt-5.2-2025-12-11/Eparse_01/grade/Eparse_01/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Eparse_01/query.json
