run_id,manifest_path,model,task_id,family,status,official_process,official_result,official_comment,metric_source,grade_result_path,query_path
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,AnimeGANv3_01,AnimeGANv3,grade_failed_retrying,False,False,,implicit_failed_before_grading,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/gpt-5-chat-2025-08-07/AnimeGANv3_01/grade/AnimeGANv3_01/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/AnimeGANv3_01/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,AnimeGANv3_02,AnimeGANv3,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/AnimeGANv3_02/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,AnimeGANv3_03,AnimeGANv3,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/AnimeGANv3_03/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,DeOldify_01,DeOldify,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeOldify_01/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,DeOldify_02,DeOldify,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeOldify_02/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,DeOldify_03,DeOldify,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeOldify_03/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,DeScratch_01,DeScratch,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeScratch_01/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,DeScratch_02,DeScratch,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeScratch_02/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,DeScratch_03,DeScratch,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/DeScratch_03/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,Eparse_01,Eparse,graded,True,True,"Prediction file contains 2 Excel data blocks
GT file contains 2 Excel data blocks
Filename match rate: 100.00%
File 'table_epa.xlsx' content similarity: 100.00%
File 'table_date.xlsx' content similarity: 100.00%
Average content similarity across all files: 100.00%
Final score (filename match 30.0% + content similarity 70.0%): 100.00% (threshold=75%)
✅ Test passed!",grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/gpt-5-chat-2025-08-07/Eparse_01/grade/Eparse_01/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Eparse_01/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,Eparse_02,Eparse,graded,True,True,✅ Test passed! Content match rate=1.0000 ≥ 0.7. Matched fields: 360/360,grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/gpt-5-chat-2025-08-07/Eparse_02/grade/Eparse_02/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Eparse_02/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,Eparse_03,Eparse,graded_failed,True,False,❌ Evaluation process error: 'list' object has no attribute 'get',grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/gpt-5-chat-2025-08-07/Eparse_03/grade/Eparse_03/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Eparse_03/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,Faker_01,Faker,graded,True,True,All user data validated successfully!,grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/gpt-5-chat-2025-08-07/Faker_01/grade/Faker_01/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Faker_01/query.json
20260401-gpt5chat-full54-modelhub,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/run_manifest.json,gpt-5-chat-2025-08-07,Faker_02,Faker,graded,True,True,All 5 company records passed structural and content checks.,grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-gpt5chat-full54-modelhub/gpt-5-chat-2025-08-07/Faker_02/grade/Faker_02/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Faker_02/query.json
