run_id,manifest_path,model,task_id,status,official_process,official_result,official_comment,metric_source,grade_result_path,query_path
20260401-qwen25-14b-trafilatura01-smoke,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-qwen25-14b-trafilatura01-smoke/run_manifest.json,Qwen2.5-14B-Instruct,Trafilatura_01,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_01/query.json
20260401-open8gpu-fullbench-v4-gpu02,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu02/run_manifest.json,Qwen2.5-32B-Instruct,Trafilatura_01,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_01/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,Trafilatura_01,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_01/query.json
20260401-open8gpu-fullbench-v4-gpu03,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu03/run_manifest.json,Qwen__Qwen3-14B,Trafilatura_01,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_01/query.json
20260401-open8gpu-fullbench-v4-gpu04,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu04/run_manifest.json,Qwen__Qwen3-32B,Trafilatura_01,graded,True,True,F1 0.9146 meets threshold 0.9,grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu04/__mnt__bn__xsc-f1526e9f__yongkang__workspace__.memory_guard_lab__model_store__Qwen__Qwen3-32B/Trafilatura_01/grade/Trafilatura_01/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_01/query.json
20260401-open8gpu-fullbench-v4-gpu05,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu05/run_manifest.json,deepseek-ai__DeepSeek-R1-Distill-Llama-8B,Trafilatura_01,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_01/query.json
20260331-gemini25-trafilatura-v3,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260331-gemini25-trafilatura-v3/run_manifest.json,gemini-2.5-pro-preview-06-05,Trafilatura_01,graded_failed,True,False,F1 0.0057 does not meet threshold 0.9,grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260331-gemini25-trafilatura-v3/gemini-2.5-pro-preview-06-05/Trafilatura_01/grade/Trafilatura_01/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_01/query.json
20260331-gpt52-trafilatura-task1-v5,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260331-gpt52-trafilatura-task1-v5/run_manifest.json,gpt-5.2-2025-12-11,Trafilatura_01,graded_failed,True,False,F1 0.7145 does not meet threshold 0.9,grade_summary,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260331-gpt52-trafilatura-task1-v5/gpt-5.2-2025-12-11/Trafilatura_01/grade/Trafilatura_01/result.jsonl,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_01/query.json
20260401-open8gpu-fullbench-v4-gpu06,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu06/run_manifest.json,mistralai__Mistral-7B-Instruct-v0.2,Trafilatura_01,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_01/query.json
20260401-open8gpu-fullbench-v4-gpu07,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu07/run_manifest.json,mistralai__Mistral-Small-3.1-24B-Instruct-2503,Trafilatura_01,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Trafilatura_01/query.json
